time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2025-07-07T23:00:00Z,42,82,1014.91,13.7,14.3,13.0
2025-07-30T04:30:00Z,67,69,1016.17,11.7,12.6,10.8
2025-07-30T12:00:00Z,67,71,1015.94,27.8,29.0,26.5
2025-07-30T11:00:00Z,65,71,1015.73,17.4,18.6,16.2
2025-07-30T07:30:00Z,69,69,1015.91,13.3,14.2,12.3
2025-07-30T17:00:00Z,33,95,1017.05,18.3,19.2,17.4
2025-07-08T18:00:00Z,32,92,1019.3,13.7,14.4,13.0
2025-07-08T11:30:00Z,67,65,1016.92,8.6,9.3,7.9
2025-07-08T10:30:00Z,67,66,1016.62,7.7,8.4,7.0
2025-07-08T22:00:00Z,40,84,1017.85,5.3,5.6,5.0
2025-05-14T19:30:00Z,29,89,1017.37,4.1,4.4,3.8
2025-05-14T18:00:00Z,32,86,1017.87,4.5,4.7,4.3
2025-06-15T23:00:00Z,40,83,1011.29,12.9,13.6,12.1
2025-07-03T13:00:00Z,55,70,1012.2,12.5,13.4,11.6
2025-06-26T02:30:00Z,56,73,1012.9,12.4,13.2,11.6
2025-06-26T09:00:00Z,61,70,1013.84,32.3,32.7,31.8
2025-06-26T08:30:00Z,61,70,1014.08,30.2,31.1,29.2
2025-07-06T03:00:00Z,61,71,1015.56,12.6,13.8,11.4
2025-07-06T19:30:00Z,31,92,1014.61,12.3,12.8,11.7
2025-07-11T07:30:00Z,66,68,1012.59,13.5,14.2,12.8
2025-07-11T18:00:00Z,37,89,1014.36,14.9,15.7,14.0
2025-06-27T03:00:00Z,57,73,1012.1,17.6,18.5,16.6
2025-07-02T05:00:00Z,60,70,1010.83,16.8,17.1,16.6
2025-07-02T14:00:00Z,56,70,1011.74,21.5,22.2,20.7
2025-07-02T23:00:00Z,42,80,1010.93,7.1,7.6,6.7
2025-07-02T06:30:00Z,60,69,1011.42,15.9,16.6,15.3
2025-07-02T07:00:00Z,60,69,1011.58,15.8,16.3,15.3
2025-07-02T16:30:00Z,49,75,1012.77,14.2,14.9,13.5
2025-07-02T15:00:00Z,54,72,1012.16,17.8,18.7,16.9
2025-07-02T13:00:00Z,58,69,1011.43,21.6,22.5,20.8
2025-05-29T11:30:00Z,56,69,1013.79,22.0,22.9,21.1
2025-05-29T13:30:00Z,59,69,1013.98,13.3,13.9,12.7
2025-05-29T17:00:00Z,37,85,1014.39,9.7,10.1,9.3
2025-07-23T03:30:00Z,62,71,1015.13,5.2,5.6,4.9
2025-07-23T07:00:00Z,65,69,1016.58,5.4,5.8,4.9
2025-07-23T02:00:00Z,57,74,1014.37,6.1,6.5,5.7
2025-07-23T13:30:00Z,58,71,1017.18,14.5,15.4,13.5
2025-07-23T08:30:00Z,61,70,1016.67,6.2,6.6,5.7
2025-05-23T17:00:00Z,35,86,1014.5,15.0,15.8,14.3
2025-05-23T10:30:00Z,58,71,1012.86,36.6,37.8,35.5
2025-05-23T18:00:00Z,31,90,1014.96,8.3,8.7,7.8
2025-05-31T04:00:00Z,59,73,1014.15,14.3,15.3,13.4
2025-06-29T09:30:00Z,63,70,1014.9,24.2,25.5,22.9
2025-05-17T06:00:00Z,53,69,1014.9,15.4,16.1,14.7
2025-05-17T09:00:00Z,52,69,1014.91,28.0,28.8,27.1
2025-06-04T18:00:00Z,50,75,1013.37,8.3,8.8,7.8
2025-08-04T19:30:00Z,36,92,1014.45,31.7,32.6,30.9
2025-07-09T13:30:00Z,56,74,1016.95,9.2,9.9,8.5
2025-07-28T01:30:00Z,55,75,1014.64,4.1,4.3,3.8
2025-07-28T20:30:00Z,37,88,1017.48,7.5,7.9,7.0
2025-07-28T05:00:00Z,67,69,1016.16,4.9,5.5,4.4
2025-06-07T09:00:00Z,57,68,1014.66,6.5,7.1,5.9
2025-06-07T07:30:00Z,58,68,1015.21,5.5,6.0,4.9
2025-06-07T22:00:00Z,39,81,1015.12,8.2,8.5,7.9
2025-06-07T04:30:00Z,58,69,1014.53,6.8,7.3,6.4
2025-06-07T05:30:00Z,58,68,1015.08,6.3,6.7,5.8
2025-06-07T04:00:00Z,57,69,1014.2,6.9,7.4,6.4
2025-06-07T19:30:00Z,34,86,1016.02,9.8,10.3,9.4
2025-05-28T16:00:00Z,56,70,1015.18,8.7,9.4,8.1
2025-05-28T17:30:00Z,45,78,1015.06,7.9,8.3,7.5
2025-05-26T08:30:00Z,59,66,1015.92,13.4,13.8,12.9
2025-05-26T09:00:00Z,59,66,1015.91,11.1,11.4,10.7
2025-08-02T12:00:00Z,65,70,1019.33,38.3,39.4,37.2
2025-08-02T05:00:00Z,68,68,1019.43,10.9,11.4,10.5
2025-08-02T08:00:00Z,66,69,1019.6,10.1,11.0,9.2
2025-08-02T10:00:00Z,67,69,1019.25,29.9,30.9,28.8
2025-06-30T02:00:00Z,55,74,1011.74,9.3,9.8,8.8
2025-06-30T12:30:00Z,61,69,1012.68,12.6,13.6,11.6
2025-06-28T13:00:00Z,60,72,1015.75,42.4,43.2,41.6
2025-07-25T09:30:00Z,71,67,1016.4,3.5,4.0,3.1
2025-07-25T21:00:00Z,37,87,1016.22,2.6,2.8,2.4
2025-06-09T10:30:00Z,60,69,1013.27,13.7,14.5,12.9
2025-06-09T05:30:00Z,62,68,1013.93,9.5,10.2,8.7
2025-06-09T23:00:00Z,45,79,1012.36,19.3,20.0,18.7
2025-08-06T09:30:00Z,70,69,1015.62,17.3,18.2,16.5
2025-07-29T10:30:00Z,68,69,1017.48,12.8,13.8,11.7
2025-07-29T20:30:00Z,38,88,1017.84,8.6,9.0,8.2
2025-07-29T02:00:00Z,59,73,1016.18,12.1,12.9,11.3
2025-07-12T19:00:00Z,42,85,1016.6,18.7,19.4,18.0
2025-07-12T23:00:00Z,45,83,1014.86,14.7,15.4,14.1
2025-07-12T08:30:00Z,61,72,1014.44,37.0,38.4,35.7
2025-07-12T21:30:00Z,38,87,1015.66,12.7,13.2,12.2
2025-07-05T18:00:00Z,31,95,1018.44,37.7,38.8,36.6
2025-06-02T07:00:00Z,59,69,1014.15,8.2,8.8,7.5
2025-08-05T10:00:00Z,70,69,1013.83,19.7,20.8,18.7
2025-08-05T17:30:00Z,32,96,1015.98,27.7,29.0,26.4
2025-08-05T11:30:00Z,71,68,1013.99,29.0,30.6,27.4
2025-08-03T17:30:00Z,35,93,1017.25,36.8,38.0,35.6
2025-08-03T07:00:00Z,70,67,1017.03,21.9,23.1,20.7
2025-08-03T16:00:00Z,51,80,1017.16,39.5,40.6,38.4
